order_id,customer_id,order_date,ship_date,state,product_category,quantity,unit_price,discount,returned,payment_status
100068,C00229,2025-04-23,2025-04-29,AZ,Sports,1,235.29,0.15,False,Paid
100069,C01409,2025-08-13,2025-08-22,AZ,Sports,1,536.56,0.15,False,Paid
100070,C02387,2025-03-28,2025-04-02,TX,Sports,4,11.55,0.1,False,Paid
100071,C00569,2025-03-14,2025-03-23,CA,Clothing,5,44.47,0.0,False,Paid
100072,C01389,2025-05-15,2025-05-19,FL,Furniture,7,227.57,0.15,False,Paid
100073,C00390,2025-11-23,2025-12-02,AZ,Clothing,4,161.78,0.05,False,Pending
100074,C02059,2025-10-08,2025-10-17,FL,Books,5,739.7,0.0,True,Paid
100075,C01427,2025-03-11,2025-03-17,CA,Furniture,7,1351.01,0.05,False,Paid
100076,C00991,2025-07-25,2025-08-01,FL,Books,4,$199.99,0.05,False,Paid
100077,C00681,2025-11-19,2025-11-24,OR,Electronics,2,1306.06,0.05,False,Paid
100078,C01693,2025-12-14,2025-12-17,CO,Electronics,6,1005.56,0.05,False,Paid
100079,C02009,2025-10-06,2025-10-11,AZ,Furniture,1,261.65,0.2,False,Paid
100080,C02820,2025-02-17,2025-02-26,AZ,Electronics,2,441.71,0.2,False,Paid
100081,C01312,2025-03-29,2025-03-30,OR,Books,1,299.33,0.0,False,Paid
100082,C00482,2025-03-21,2025-03-23,WA,Furniture,5,1186.05,0.1,False,Paid
100083,C02498,2025-02-25,2025-03-02,AZ,Electronics,2,1090.4,0.05,True,Paid
100084,C01889,2025-03-05,2025-03-09,CA,Sports,3,463.57,0.2,False,Paid
100085,C02101,2025-04-26,2025-05-02,CA,Books,5,90.96,0.1,False,Paid
100086,C00292,2025-07-22,2025-07-26,CA,Books,3,261.42,0.15,False,Paid
100087,C00937,2025-05-26,2025-06-01,NY,Electronics,3,948.52,0.0,False,Paid
100088,C02303,2025-06-03,2025-06-04,CA,Sports,4,144.66,0.15,False,Paid
100089,C02496,2025-03-31,2025-04-03,NY,Furniture,1,809.33,0.1,False,Paid
100090,C01306,2025-02-25,2025-03-04,TX,Books,7,923.26,0.2,True,Paid
100091,C02414,2025-12-31,2026-01-05,CO,Sports,7,1034.75,0.0,False,Paid
100092,C02525,2025-08-07,2025-08-14,OR,Sports,5,196.78,0.05,False,Paid
100093,C01163,2025-03-25,2025-03-31,CA,Books,1,694.96,0.2,False,Paid
100094,C02694,2025-10-23,2025-10-26,FL,Books,4,700.46,0.05,False,Paid
100095,C00865,2025-10-31,2025-11-04,WA,Electronics,3,1254.57,0.05,False,Pending
100096,C00719,2025-12-19,2025-12-28,WA,Sports,2,708.39,0.05,False,Paid
100097,C02047,2025-02-28,2025-03-09,FL,Electronics,7,616.13,0.1,False,Paid
100098,C01910,2025-08-22,2025-08-23,CO,Books,3,193.96,0.0,False,Paid
100099,C00420,2025-12-24,2025-12-31,CO,Sports,5,1044.75,0.15,False,Paid
100100,C02498,2025-10-22,2025-10-27,OR,Electronics,5,933.49,0.2,True,Failed
100101,C00600,2025-03-24,2025-03-25,AZ,Furniture,3,1078.26,0.05,False,Paid
100102,C02414,2025-11-22,2025-11-28,TX,Books,3,987.86,0.0,False,Paid
100103,C00023,2025-06-03,2025-06-04,AZ,Sports,7,1314.17,0.05,False,Paid
100104,C02390,2025-06-28,2025-07-01,CO,Furniture,6,1317.25,0.15,False,Paid
100105,C02360,2025-07-23,2025-07-30,NY,Books,4,468.45,0.1,False,Pending
100106,C02341,2025-10-09,,NY,Sports,4,281.79,0.15,False,Paid
100107,C01994,2025-02-13,2025-02-17,NY,Electronics,1,1390.45,0.2,False,Paid
100108,C01415,2025-07-16,2025-07-24,CA,Furniture,2,1072.43,0.2,False,Paid
100109,C02115,2025-10-26,2025-11-03,AZ,Books,1,1456.76,0.1,False,Paid
100110,C00832,2025-07-20,2025-07-25,FL,Furniture,6,750.46,0.15,False,Paid
100111,C02342,2025-04-11,2025-04-13,AZ,Electronics,7,1443.74,0.1,False,Paid
100112,C01667,2025-01-21,2025-01-27,CA,Sports,2,192.85,0.0,False,Paid
100113,C01377,2025-07-20,2025-07-21,AZ,Books,2,889.64,0.1,False,Paid
100114,C01517,2025-09-14,2025-09-23,WA,Clothing,3,750.14,0.2,False,Paid
100115,C01706,2025-07-20,2025-07-24,AZ,Books,6,13.94,0.1,False,Paid
100116,C00112,2025-12-24,2025-12-31,CO,Electronics,3,297.42,0.1,False,Paid
100117,C00420,2025-08-08,2025-08-15,CO,Sports,1,238.67,0.15,True,Paid
100118,C00737,2025-07-05,2025-07-10,CO,Sports,5,100.61,0.2,False,Paid
100119,C00344,2025-01-21,2025-01-30,CA,Books,2,1422.74,0.0,False,Paid
100120,C01319,2025-07-23,2025-07-31,WA,Clothing,5,1448.4,0.0,False,Paid
100121,C02005,2025-03-03,2025-03-11,WA,Books,6,1338.71,0.1,False,Paid
100122,C01963,2025-09-22,2025-09-23,NY,Electronics,1,1483.43,0.0,False,Paid
100123,C01413,2025-02-28,2025-03-05,CO,Electronics,7,1247.69,0.2,False,Paid
100124,C02565,2025-11-27,2025-12-06,FL,Sports,5,1398.95,0.15,False,Paid
100125,C01696,2025-04-21,,NY,Electronics,1,304.47,0.15,False,Pending
100126,C00238,2025-06-08,2025-06-13,AZ,Books,2,392.76,0.1,False,Paid
100127,C02295,2025-02-22,2025-02-23,TX,Electronics,2,1294.48,0.1,False,Paid
100128,C01724,2025-03-18,2025-03-21,FL,Sports,7,724.4,0.0,False,Paid
100129,C01904,2025-12-03,2025-12-09,NY,Clothing,6,1078.29,0.15,False,Paid
100130,C01696,2025-04-14,2025-04-20,TX,Sports,3,847.24,0.1,False,Paid
100131,C01661,2025-07-07,2025-07-16,FL,Sports,4,465.4,0.05,False,Paid
100132,C00272,2025-12-25,2025-12-26,AZ,Clothing,3,434.4,0.1,False,Pending
100133,C01678,2025-08-16,2025-08-20,AZ,Clothing,3,1124.79,0.1,False,Paid
100134,C02384,2025-01-16,2025-01-19,AZ,Clothing,5,802.82,0.2,False,Pending
100135,C00912,2025-05-11,2025-05-20,AZ,Sports,2,545.48,0.0,False,Paid
100136,C01808,2025-05-22,2025-05-24,OR,Sports,6,929.39,0.0,False,Paid
100137,C00093,2025-04-11,2025-04-13,,Clothing,7,635.71,0.0,False,Paid
100138,C01043,2025-03-30,2025-04-02,CO,Furniture,7,717.86,0.15,False,Paid
100139,C01310,2025-07-03,2025-07-04,OR,Electronics,2,1020.09,0.0,False,Paid
100140,C02948,2025-05-18,2025-05-24,FL,Sports,3,692.37,0.15,False,Paid
100141,C00644,2025-04-18,2025-04-23,CA,Furniture,2,1425.41,0.15,False,Paid
100142,C00830,2025-05-31,2025-06-06,CO,Clothing,5,732.94,0.15,False,Paid
100143,C01226,2025-05-06,2025-05-15,CO,Books,3,1443.12,0.1,False,Paid
100144,C02978,2025-03-25,2025-03-29,CO,Sports,3,1273.06,0.1,False,Paid
100145,C02560,2025-06-15,2025-06-18,TX,Furniture,1,1337.48,0.2,False,Paid
100146,C00105,2025-12-10,2025-12-14,AZ,Clothing,4,1147.28,0.2,False,Paid
100147,C00702,2025-07-04,2025-07-12,NY,Furniture,4,910.74,0.0,False,Pending
100148,C02465,2025-08-07,2025-08-12,TX,Sports,4,803.67,0.05,False,Paid
100149,C00175,2025-12-26,2025-12-28,NY,Electronics,3,831.97,0.05,False,Paid
100150,C02567,2025-08-12,2025-08-19,OR,Books,6,310.17,0.1,False,Pending
100151,C00844,2025-03-23,2025-03-30,FL,Books,5,329.45,0.15,False,Paid
100152,C02753,2025-05-26,,CA,Furniture,2,60.9,0.05,False,Paid
100153,C00881,2025-06-28,2025-07-04,NY,Furniture,3,1120.88,0.0,False,Paid
100154,C01303,2025-06-23,2025-06-29,FL,Clothing,5,196.05,0.05,False,Pending
100155,C01986,2025-02-24,2025-02-26,FL,Sports,1,877.4,0.1,False,Paid
100156,C00379,2025-02-08,2025-02-09,AZ,Sports,3,215.51,0.15,True,Paid
100157,C01671,2025-05-08,2025-05-15,FL,Electronics,7,109.15,0.0,False,Paid
100158,C01515,2025-11-30,2025-12-06,FL,Sports,4,805.06,,False,Paid
100159,C02351,2025-09-19,,CA,Electronics,4,1310.91,0.0,False,Paid
100160,C02988,2025-11-04,2025-11-08,AZ,Furniture,5,540.46,0.05,False,Paid
100161,C01993,2025-03-05,2025-03-10,WA,Sports,3,1379.65,0.1,False,Paid
100162,C01228,2025-06-01,2025-06-10,NY,Books,6,25.36,0.0,False,Paid
100163,C01219,2025-08-01,2025-08-04,NY,Sports,1,703.95,0.1,False,Paid
100164,C01254,2025-06-08,2025-06-14,CO,Electronics,4,228.68,0.0,False,Paid
100165,C02442,2025-06-02,2025-06-04,WA,Sports,5,480.51,0.05,False,Paid
100166,C00964,2025-05-12,,OR,Electronics,2,45.36,0.1,False,Paid
100167,C00501,2025-01-19,2025-01-28,AZ,Furniture,6,62.67,0.05,True,Paid
100168,C01003,2025-11-09,2025-11-11,FL,Electronics,1,1072.09,0.1,False,Paid
100169,C00069,2025-12-07,2025-12-13,WA,Books,5,985.26,0.05,False,Paid
100170,C00319,2025-01-30,2025-02-04,WA,Furniture,5,320.42,0.1,False,Paid
100171,C00271,2025-05-31,2025-06-08,AZ,Clothing,6,1352.71,0.0,False,Paid
100172,C02314,2025-07-09,2025-07-14,AZ,Sports,2,1035.09,0.0,False,Paid
100173,C02167,2025-10-14,2025-10-21,TX,Books,2,510.9,0.2,False,Paid
100174,C02090,2025-12-27,2026-01-05,OR,Books,5,617.4,0.05,False,Paid
100175,C01386,2025-06-01,2025-06-09,AZ,Electronics,7,445.91,0.15,False,Paid
100176,C02151,2025-10-01,2025-10-08,CA,Furniture,6,1247.59,0.0,False,Paid
100177,C00484,2025-12-09,2025-12-11,TX,Clothing,2,746.0,0.0,False,Paid
100178,C02701,2025-10-31,2025-11-02,TX,Sports,3,211.61,0.15,False,Paid
100179,C01503,2025-04-17,,NY,Furniture,2,310.55,0.05,False,Paid
100180,C02814,2025-10-26,2025-11-01,OR,Furniture,6,451.9,0.05,False,Paid
100181,C00457,2025-05-31,2025-06-07,WA,Sports,4,610.7,0.0,False,Pending
100182,C01492,2025-01-07,2025-01-15,TX,Clothing,4,893.03,0.05,False,Paid
100183,C02089,2025-10-04,2025-10-05,FL,Sports,1,1446.61,0.05,False,Pending
100184,C01487,2025-11-01,2025-11-03,AZ,Furniture,5,400.27,0.15,False,Paid
100185,C01339,2025-05-06,2025-05-08,TX,Clothing,4,499.32,0.2,False,Paid
100186,C00499,2025-06-14,2025-06-19,FL,Electronics,1,45.69,0.0,False,Paid
100187,C01143,2025-05-13,2025-05-19,AZ,Electronics,2,565.1,0.0,False,Paid
100188,C00717,2025-02-12,2025-02-14,NY,Electronics,6,1015.87,0.15,False,Paid
100189,C00905,2025-12-30,2026-01-07,NY,Electronics,6,1444.96,0.2,False,Paid
100190,C02051,2025-01-09,2025-01-12,TX,Furniture,4,1112.88,0.05,False,Paid
100191,C01891,2025-07-22,2025-07-28,CO,Electronics,6,185.81,0.2,False,Paid
100192,C01821,2025-01-06,2025-01-13,CO,Electronics,6,1336.16,0.0,False,Paid
100193,C01086,2025-09-09,2025-09-10,FL,Books,5,1259.63,0.15,True,Paid
100194,C02879,2025-11-25,2025-12-03,CO,Books,2,291.64,0.2,True,Paid
100195,C00263,2025-08-23,2025-09-01,NY,Furniture,3,1402.17,0.1,False,Paid
100196,C01028,2025-08-10,2025-08-19,FL,Books,6,1074.01,0.1,False,Paid
100197,C00354,2025-10-30,2025-11-01,,Electronics,3,1176.4,0.05,False,Paid
100198,C01017,2025-12-22,2025-12-26,CA,Electronics,5,694.12,0.15,False,Paid
100199,C02885,2025-11-11,2025-11-14,TX,Furniture,6,309.02,0.2,False,Paid
100200,C01099,2025-03-26,2025-03-31,TX,Furniture,4,1200.67,0.2,False,Paid
100201,C02725,2025-07-25,2025-08-03,FL,Electronics,4,721.39,0.2,False,Paid
100202,C01485,2025-10-26,2025-11-02,TX,Books,2,1451.47,0.0,False,Paid
100203,C02099,2025-04-18,2025-04-25,OR,Books,4,238.47,0.1,False,Paid
100204,C01372,2025-09-04,2025-09-08,OR,Furniture,1,539.55,0.1,False,Paid
100205,C00798,2025-01-09,2025-01-18,FL,Furniture,1,1105.97,0.0,False,Pending
100206,C02292,2025-11-17,2025-11-26,NY,Sports,4,862.7,0.2,False,Paid
100207,C02907,2025-08-13,2025-08-21,CA,Books,2,655.58,0.0,True,Failed
100208,C00791,2025-09-29,2025-10-07,FL,Furniture,3,1055.4,0.1,False,Paid
100209,C02336,2025-10-29,2025-11-04,OR,Sports,3,1102.69,0.0,False,Paid
100210,C00784,2025-03-21,2025-03-22,CA,Electronics,4,870.18,0.15,False,Paid
100211,C02150,2025-06-14,2025-06-17,FL,Clothing,5,485.46,0.0,False,Paid
100212,C02367,2025-11-10,2025-11-17,WA,Books,4,931.95,0.1,True,Paid
100213,C01348,2025-03-02,2025-03-05,OR,Clothing,6,822.41,0.1,False,Paid
100214,C02211,2025-10-28,2025-10-30,CO,Sports,4,1198.51,0.0,False,Paid
100215,C00817,2025-04-16,2025-04-25,TX,Sports,7,983.65,0.2,True,Paid
100216,C00238,2025-07-30,2025-08-04,CO,Sports,7,750.19,0.0,False,Paid
100217,C00290,2025-07-06,2025-07-14,OR,Sports,3,37.87,0.15,False,Paid
100218,C01341,2025-09-08,2025-09-11,CO,Books,6,258.74,0.0,False,Paid
100219,C02707,2025-11-02,2025-11-06,AZ,Electronics,4,511.53,0.15,True,Paid
100220,C00383,2025-05-08,2025-05-12,AZ,Books,7,906.05,0.05,True,Paid
100221,C01367,2025-03-04,2025-03-08,,Books,6,1190.61,0.15,False,Failed
100222,C02112,2025-06-04,2025-06-08,AZ,Books,3,1440.33,0.1,False,Paid
100223,C00607,2025-08-12,2025-08-15,WA,Furniture,3,903.71,0.15,False,Paid
100224,C02165,2025-10-01,2025-10-09,CO,Clothing,7,1095.98,0.2,False,Paid
100225,C00918,2025-10-02,2025-10-05,CO,Furniture,4,935.95,0.1,False,Paid
100226,C02426,2025-05-05,2025-05-09,NY,Books,5,651.11,0.15,False,Paid
100227,C01738,2025-12-08,2025-12-16,CO,Clothing,5,918.42,0.2,False,Paid
100228,C01641,2025-01-31,2025-02-04,NY,Furniture,2,607.0,0.05,True,Paid
100229,C00531,2025-02-12,2025-02-13,CA,Sports,2,685.92,0.05,False,Paid
100230,C01390,2025-01-10,2025-01-11,XX,Electronics,7,1367.4,0.15,False,Paid
100231,C02569,2025-12-05,2025-12-09,NY,Furniture,2,850.15,0.2,False,Paid
100232,C00059,2025-03-07,2025-03-13,CA,Furniture,7,159.61,0.0,False,Paid
100233,C02275,2025-08-08,2025-08-17,CA,Furniture,3,790.41,0.0,True,Paid
100234,C01478,2025-10-24,2025-10-26,FL,Clothing,6,1430.36,0.0,False,Paid
100235,C02158,2025-10-07,2025-10-12,CO,Electronics,5,159.06,0.15,False,Paid
100236,C01990,2025-12-13,2025-12-16,FL,Books,1,1457.07,0.1,False,Pending
100237,C01296,2025-01-20,2025-01-25,OR,Clothing,2,1481.58,0.1,False,Paid
100238,C00926,2025-05-29,2025-06-02,WA,Furniture,7,845.46,0.05,False,Paid
100239,C01882,2025-07-04,2025-07-07,OR,Electronics,2,505.33,0.1,True,Paid
100240,C00421,2025-09-12,2025-09-13,WA,Books,2,22.87,0.15,False,Paid
100241,C01752,2025-08-16,2025-08-17,WA,Books,2,33.1,0.1,False,Paid
100242,C00284,2025-07-24,2025-07-29,TX,Clothing,5,588.26,0.05,False,Paid
100243,C01949,2025-04-22,2025-04-25,NY,Furniture,6,1176.78,0.0,False,Paid
100244,C01886,2025-02-08,2025-02-11,TX,Clothing,7,1414.14,0.05,False,Paid
100245,C00254,2025-06-07,2025-06-08,TX,Books,7,240.62,0.15,False,Paid
100246,C02272,2025-04-05,2025-04-06,WA,Furniture,7,736.75,0.0,False,Paid
100247,C01248,2025-07-22,2025-07-24,AZ,Sports,7,757.57,0.05,False,Paid
100248,C02360,2025-10-18,2025-10-22,NY,Books,4,576.65,0.05,True,Paid
100249,C00125,2025-07-21,,OR,Sports,6,814.53,0.1,False,Paid
100250,C00539,2025-08-01,2025-08-04,NY,Books,5,1388.28,0.2,True,Paid
100251,C01482,2025-01-16,2025-01-19,NY,Books,1,663.41,0.2,False,Paid
100252,C00565,2025-08-24,2025-08-27,OR,Electronics,1,215.29,0.05,False,Failed
100253,C00990,2025-06-10,2025-06-11,AZ,Furniture,1,1001.52,0.1,False,Paid
100254,C01982,2025-02-15,2025-02-17,FL,Electronics,3,56.75,0.2,False,Pending
100255,C00434,2025-03-20,2025-03-29,TX,Clothing,4,1410.77,0.2,True,Paid
100256,C02033,2025-10-12,2025-10-19,AZ,Clothing,5,1410.43,0.15,False,Paid
100257,C00311,2025-12-01,2025-12-03,TX,Electronics,4,147.29,0.0,False,Paid
100258,C00526,2025-07-05,2025-07-08,CA,Clothing,3,830.82,0.05,True,Paid
100259,C01763,2025-12-23,2025-12-27,OR,Electronics,6,1198.11,0.05,False,Paid
100260,C02380,2025-03-07,2025-03-16,OR,Clothing,7,702.22,0.15,False,Paid
100261,C00512,2025-04-20,2025-04-28,AZ,Furniture,2,723.37,0.05,False,Pending
100262,C00900,2025-12-06,2025-12-13,FL,Books,2,1455.6,0.0,False,Paid
100263,C02775,2025-03-05,2025-03-06,CA,Sports,7,353.46,0.2,True,Paid
100264,C02969,2025-08-29,2025-09-03,OR,Sports,7,794.2,0.0,False,Paid
100265,C01743,2025-03-22,2025-03-27,AZ,Books,3,181.3,0.15,False,Paid
100266,C01341,2025-05-01,2025-05-07,,Electronics,4,460.64,0.2,False,Paid
100267,C01041,2025-06-24,2025-07-02,NY,Furniture,5,1277.85,0.2,False,Paid
100268,C01837,2025-05-12,2025-05-15,NY,Sports,5,1077.51,0.1,False,Paid
100269,C01773,2025-11-16,2025-11-22,NY,Sports,7,921.89,0.1,False,Paid
100270,C00884,2025-12-22,2025-12-25,TX,Electronics,1,179.69,0.15,True,Paid
100271,C00069,2025-07-02,2025-07-04,NY,Furniture,4,1277.54,0.05,False,Paid
100272,C00455,2025-07-11,2025-07-14,FL,Furniture,2,454.18,0.1,False,Paid
100273,C02875,2025-01-21,2025-01-28,CA,Electronics,6,807.12,0.05,False,Paid
100274,C01255,2025-03-27,2025-03-31,FL,Sports,5,357.88,0.05,False,Paid
100275,C01447,2025-01-15,2025-01-22,TX,Electronics,6,785.9,0.1,False,Paid
100276,C01401,2025-11-09,2025-11-16,CA,Books,7,847.59,0.1,False,Paid
100277,C02348,2025-03-24,2025-03-28,AZ,Clothing,6,517.3,0.0,False,Paid
100278,C00195,2025-05-05,2025-05-14,OR,Sports,6,763.82,0.0,False,Paid
100279,C00249,2025-11-04,2025-11-05,OR,Clothing,6,615.02,0.15,False,Paid
100280,C00828,2025-09-18,2025-09-27,NY,Books,5,1049.27,0.1,False,Paid
100281,C01460,2025-08-15,2025-08-16,NY,Furniture,3,820.4,0.2,False,Paid
100282,C02013,2025-01-15,2025-01-19,NY,Clothing,3,1318.33,0.0,False,Paid
100283,C01472,2025-07-25,2025-08-02,CO,Electronics,3,83.97,0.05,False,Paid
100284,C01324,2025-07-24,2025-07-31,FL,Books,5,49.69,0.05,False,Pending
100285,C02813,2025-04-27,2025-04-30,CA,Clothing,6,290.94,0.15,True,Paid
100286,C00483,2025-09-29,,,Electronics,3,186.68,0.1,False,Paid
100287,C01715,2025-12-06,2025-12-08,OR,Books,5,793.58,0.1,False,Paid
100288,C01627,2025-04-05,2025-04-12,OR,Books,3,308.2,0.2,False,Paid
100289,C01420,2025-05-01,2025-05-06,WA,Electronics,5,33.91,0.0,False,Paid
100290,C02422,2025-04-28,2025-04-30,TX,Books,6,431.11,0.2,False,Paid
100291,C00801,2025-11-01,2025-11-10,CA,Sports,3,768.71,0.05,False,Paid
100292,C02861,2025-01-29,2025-02-05,TX,Furniture,3,1074.24,0.0,False,Paid
100293,C00995,2025-11-24,2025-11-25,CO,Sports,2,663.21,0.1,False,Paid
100294,C01635,2025-10-10,2025-10-11,OR,Sports,4,1444.44,0.05,False,Pending
100295,C01562,2025-06-26,2025-06-27,CO,Clothing,4,307.18,0.15,False,Paid
100296,C02549,2025-08-01,2025-08-05,WA,Sports,2,775.95,0.15,False,Paid
100297,C01317,2025-11-23,2025-11-27,WA,Electronics,7,387.24,0.1,True,Paid
100298,C00854,2025-10-08,2025-10-15,OR,Books,7,1211.94,0.15,True,Paid
100299,C00065,2025-04-12,2025-04-19,CO,Books,3,289.76,0.0,False,Paid
100300,C01091,2025-01-19,2025-01-20,NY,Furniture,7,1442.79,0.05,False,Paid
100301,C02479,2025-08-29,2025-09-03,CA,Clothing,2,1077.74,0.0,False,Failed
100302,C00030,2025-02-23,2025-03-03,WA,Furniture,3,839.73,0.15,False,Paid
100303,C02688,2025-02-02,,CO,Furniture,1,803.2,0.15,False,Paid
100304,C01628,2025-12-25,2025-12-28,TX,Furniture,5,550.08,0.15,False,Paid
100305,C00421,2025-06-22,2025-06-23,AZ,Books,4,41.33,0.05,False,Paid
100306,C00907,2025-08-26,2025-08-28,CO,Sports,2,1373.53,0.2,False,Paid
100307,C01662,2025-03-21,2025-03-25,TX,Books,five,1194.46,0.15,False,Paid
100308,C00947,2025-02-07,2025-02-11,NY,Sports,7,210.94,0.1,False,Paid
100309,C00326,2025-01-23,2025-01-27,NY,Sports,5,191.9,0.05,False,Paid
100310,C01998,2025-05-10,2025-05-11,AZ,Electronics,2,469.07,0.2,True,Paid
